;name;categories;lat;lng
0;Rabiang Thai;Thai Restaurant;48.18077667718725;11.571211407312065
1;Synantisis;Greek Restaurant;48.179631622971584;11.570367269017229
2;Blücher;Gastropub;48.18184320397461;11.570273127189253
3;Wolfs-Burger;Burger Joint;48.184465;11.571378
4;Tonys Essbar;Cocktail Bar;48.18080993275455;11.572888505279678
5;Rossmann;Drugstore;48.18430432953258;11.572930878890231
6;Restaurant Dionysos;Greek Restaurant;48.186539129474475;11.572669742820898
7;REWE;Supermarket;48.1783864;11.5719981
8;EDEKA;Supermarket;48.18623299999999;11.5721758
9;Bratwurstkeller am Kultbrettl;German Restaurant;48.18196105957031;11.573079109191895
10;Pichler's Backhaus & SB-Cafe;Bakery;48.181731384376526;11.572944555564401
11;H Milbertshofener Straße;Bus Stop;48.184365358621065;11.575382798910141
12;Eis & Heiss;Ice Cream Shop;48.184541924853114;11.57283820844493
13;REWE City;Supermarket;48.18402922867011;11.578742675821104
14;H Abtstraße;Bus Stop;48.18427668785416;11.578578609237022
15;NORMA;Supermarket;48.18579;11.57648
16;Korbinianplatz;Soccer Field;48.18546266302425;11.571972370147705
17;Münchner Bank - Milbertshofen;Bank;48.18582639928601;11.572436392307281
18;Früchte Demmel;Food & Drink Shop;48.18624664194837;11.572980880737305
19;Delphin-Apotheke;Pharmacy;48.1866;11.572995
