name;categories;lat;lng
Trattoria Pasta degli Angeli;Trattoria/Osteria;52.586480133914144;13.401996545837422
Brosepark;Park;52.585833560959145;13.402536985680186
Arom Di;Thai Restaurant;52.584230787487506;13.402870502985193
Cafe Kubitza;Dessert Shop;52.581686631270166;13.404260564864577
ALDI NORD;Supermarket;52.589105555305046;13.401778856209727
Ristorante Francavilla;Italian Restaurant;52.58732236234227;13.402107587595419
H Heinrich-Böll-Straße;Tram Station;52.587452012135664;13.401775360107422
Packstation 213;Shipping Store;52.58892490769525;13.402007548865745
Simply Stich;Hobby Shop;52.58901074531017;13.402032219027888
Dietzgen-Bäckerei;Bakery;52.589413977196706;13.401603698730469
Lavendel Apotheke;Pharmacy;52.58224546909332;13.403489
H Nordend;Tram Station;52.59017001043102;13.402483059547295
