name;categories;lat;lng
Schlossplatz;Plaza;48.77854905890561;9.179854989051819
Altes Schloss;History Museum;48.7771680490656;9.179526070063032
Landesmuseum Württemberg;Museum;48.777143060586916;9.179541602158853
Die Bierothek;Beer Store;48.77919805797462;9.178369045257568
Oberer Schlossgarten;Park;48.780002491229624;9.182439617316206
Old Bridge;Ice Cream Shop;48.780007253033745;9.177899287099294
Königstraße;Pedestrian Plaza;48.77819555801041;9.17809009552002
Markthalle;Market;48.776144700913335;9.179335327968655
Feinkost Böhm;Gourmet Shop;48.77807745373688;9.176316993145605
Schillerplatz;Plaza;48.77717035374872;9.178736615471525
Kunstmuseum Stuttgart;Art Museum;48.77815018244672;9.177924462734401
Kleiner Schlossplatz;Plaza;48.77839379185929;9.17685979799192
Oggi Tavola Mediterranea;Italian Restaurant;48.77883534646972;9.176265592920815
Karlsplatz;Park;48.776590763606954;9.180966784404692
Waranga;Bar;48.77855215747993;9.177410799660743
Carls Brauhaus;Brewery;48.779052756966486;9.179677043794742
Metropol Kino;Movie Theater;48.78021027370282;9.177686106586961
Neues Schloss;Palace;48.777969316131006;9.181898832321165
Buchhaus Wittwer;Bookstore;48.777862895929296;9.177516533822256
Brauhaus Schönbuch;German Restaurant;48.78034135038388;9.178252684512566
Palast der Republik;Beer Garden;48.780572410026615;9.177211633995974
Coffreez;Coffee Shop;48.779794532235435;9.17947387441295
Eduard's;Cocktail Bar;48.77553673369719;9.179934613561988
Heart & Sole;Sporting Goods Shop;48.778729790418915;9.177254663700829
Cube;Restaurant;48.77828879659698;9.177706555133371
Sansibar;German Restaurant;48.775330505252555;9.18048091545826
Staatsoper Stuttgart;Opera House;48.779369171395125;9.18433427810669
Weinhandlung & Weinbar Kreis;Wine Shop;48.77675812787134;9.178656157759413
San's Bistro & Weinbar;Sandwich Place;48.77876660607348;9.176832365330075
Gloria Kino;Movie Theater;48.78026999944451;9.178807590031012
Marktplatz;Plaza;48.77527972503773;9.178327885301353
Sushi-Ya;Sushi Restaurant;48.777460528735965;9.175435468797998
Cavos Taverna Stuttgart;Taverna;48.78149040209631;9.178606604786292
bungalow;Men's Store;48.776174621819784;9.17796955180271
Go Asia Asien Supermarkt;Supermarket;48.78153;9.181855
California Bounge;Lounge;48.780051192707305;9.175979058815875
Breuninger;Department Store;48.774936162467256;9.179795980453491
Alte Kanzlei;German Restaurant;48.777639534882084;9.178852050050422
Holanka Bar;Café;48.77612147606333;9.178086826413422
enso Sushi & Grill;Japanese Restaurant;48.77538648763748;9.182065444129723
Sky Beach Stuttgart;Beach Bar;48.782026007296444;9.180950122707388
Motel One Stuttgart-Hauptbahnhof;Hotel;48.782071914338516;9.1790330349188
Old Bridge;Ice Cream Shop;48.77417318950248;9.179273717618711
Louis Vuitton;Boutique;48.7756571;9.1797474
Zara;Clothing Store;48.7810135333768;9.180603167252713
Thai-Restaurant Tiffany;Thai Restaurant;48.775859183620916;9.176997893598454
